Date,above_20,above_60,above_120,above_200
2025-03-11,53.713481168602605,53.33635037964499,40.76029567053854,32.131543219188416
2025-03-12,53.53245838990295,53.48720269522804,41.04188665962689,32.39302056619903
2025-03-13,53.04470256951778,53.46206064263087,41.25307990144316,32.65449791320963
2025-03-14,52.79654414530707,53.48493248457159,41.58798371134463,32.9545157990749
2025-03-17,52.335122571793946,53.39472311777139,41.860487530737686,33.17740314206755
2025-03-18,51.81326469650563,53.249180040692536,42.10275730331947,33.344999163911304
2025-03-19,51.11515811825844,53.01300900415698,42.14882369010132,33.48231874981401
2025-03-20,50.22111308627241,52.66630831173585,42.12961611567249,33.51413709035059
2025-03-21,48.854672994803025,52.09351989702412,41.9747792218907,33.490717096150476
2025-03-24,47.43771565792554,51.49046564365379,41.769541652807675,33.46221570501872
2025-03-25,45.669257059680014,50.751835057342724,41.42875954263123,33.31818803932928
2025-03-26,43.920795533405354,49.90253705047431,41.08289603552312,33.17420276276962
2025-03-27,42.207766020980486,48.95303114082027,40.64166228506486,33.00017419048267
2025-03-28,39.89229159892581,47.46123049668566,39.92424745820564,32.575053607979726
2025-03-31,37.22597294701458,45.593263416295784,38.90595458821093,31.98444056419806
2025-04-01,36.20301197410351,44.69010472140834,38.54587482670489,31.77062979361825
2025-04-02,35.527032521598336,43.90786101920109,38.26629202263958,31.53679015922026
2025-04-03,34.16743297594623,42.67314514850426,37.66497572359,31.08180643479157
2025-04-04,33.03351845585184,41.59396029358927,37.07349370264796,30.68196566955756
2025-04-07,31.498496795271453,39.917772233579186,36.010443210253186,30.031266034321323
2025-04-08,30.1742444852096,38.47748497940237,35.077919445714834,29.410694473071924
2025-04-09,29.172117769582428,37.163310684944264,34.226189362525645,28.77024240995853
2025-04-10,28.74201116568982,36.39095424725678,33.765668558020224,28.450909199447704
2025-04-11,28.804010566625443,35.74916692655552,33.490881024260595,28.201793582407422
2025-04-14,29.078227708364693,35.275227056048976,33.31827989362236,27.974308796226605
2025-04-15,29.775703748306487,35.04942546038436,33.31326208038537,27.873952531486783
2025-04-16,30.372823523508455,34.69316072055798,33.17276330974961,27.763560640272967
2025-04-17,31.215816147322997,34.517537257263285,33.18279893622359,27.70334688142907
2025-04-18,32.58567916102162,34.53760851021125,33.39354709217722,27.79868533293191
2025-04-21,34.25159315570274,34.763410105875856,33.749811832003616,27.99438004917457
2025-04-22,35.872346831250944,34.99924732801445,34.09102313211902,28.200110391891215
2025-04-23,38.15545185408199,35.526117717898536,34.69817853379497,28.551357318480605
2025-04-24,40.36830749159516,36.042952481308646,35.30533393547093,28.932711124491945
2025-04-25,42.91233880274976,36.9361232374931,36.13327311957449,29.479652767323998
2025-04-28,45.702242962516934,38.17552310702996,37.13181795373576,30.131968488132873
2025-04-29,49.19464097546289,40.047167444427714,38.70741131015103,31.195744894375032
2025-04-30,52.05981233378493,41.52240453610317,39.99197149882081,32.02870189171559
2025-05-02,54.82462742736716,43.08796226604446,41.24140699483165,32.916854834663056
2025-05-07,57.64965627979326,44.758894073962566,42.6012343820563,33.83511465703246
2025-05-08,60.17863415123689,46.329469617140845,43.991168648702896,34.76842791911285
2025-05-09,62.92839580510814,48.46705805609915,45.872848612574636,35.88740027096191
2025-05-12,65.62296151337247,50.629735561242406,47.809724522053294,37.126800140498766
2025-05-13,68.32254503487381,52.99814340910232,49.91720608158965,38.52175222038236
2025-05-14,70.49525816649104,54.869787746500066,51.69351196748457,39.74609865020824
